epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6326,2.86908,8.04216,1.13992,0.00123,0.22078,0.00094,0.00027,2.41692,6.00118,1.05963,0.00031673,0.00031673,0.00031673
2,93.7207,2.53135,4.5872,0.98921,0.00159,0.28734,0.00141,0.00034,2.10749,5.26623,0.97515,0.000637257,0.000637257,0.000637257
3,139.322,2.43808,3.65522,0.96281,0.00069,0.12662,0.00042,0.00016,2.27903,5.34796,1.01444,0.000944582,0.000944582,0.000944582
4,187.009,2.23687,3.34965,0.96701,0.00329,0.58929,0.00379,0.00134,2.12568,15.4446,0.97961,0.0012387,0.0012387,0.0012387
5,234.077,2.31179,3.02451,0.94495,0.1657,0.08117,0.15071,0.05996,2.07773,3.96759,0.98455,0.00151962,0.00151962,0.00151962
6,281.319,2.23577,2.91539,0.92191,0.73887,0.25573,0.47532,0.21639,2.13329,3.5138,0.99196,0.00150197,0.00150197,0.00150197
7,328.77,2.18288,2.85196,0.9072,0.66332,0.32484,0.58627,0.19433,2.01406,3.27277,0.98203,0.00146896,0.00146896,0.00146896
8,374.769,2.07697,2.50841,0.90379,0.6518,0.66845,0.63009,0.24124,2.10232,2.50292,0.98636,0.00143595,0.00143595,0.00143595
9,419.124,2.01133,2.37446,0.91213,0.72339,0.69805,0.6617,0.29103,2.04012,2.59996,0.99197,0.00140295,0.00140295,0.00140295
10,466.754,2.04691,2.22056,0.89894,0.64272,0.75553,0.66144,0.30707,2.09188,2.22084,0.99652,0.00136994,0.00136994,0.00136994
11,511.397,1.92468,1.99757,0.90405,0.70546,0.79221,0.70817,0.22217,2.42402,2.30355,1.07986,0.00133693,0.00133693,0.00133693
12,557.595,1.87668,1.96427,0.90918,0.74509,0.81006,0.73984,0.31614,2.06771,2.11731,0.99238,0.00130393,0.00130393,0.00130393
13,603.616,1.94829,1.91103,0.88005,0.78161,0.82265,0.74953,0.35122,1.83123,1.96315,0.96258,0.00127092,0.00127092,0.00127092
14,651.49,1.95131,1.90564,0.91829,0.74256,0.81006,0.73996,0.28503,2.05786,1.96776,0.98644,0.00123791,0.00123791,0.00123791
15,698.027,1.91322,1.92129,0.90059,0.64139,0.74675,0.62619,0.29967,1.85278,1.91063,0.95344,0.00120491,0.00120491,0.00120491
16,745.377,1.88715,1.85747,0.8948,0.72218,0.75649,0.78443,0.33297,1.87172,1.80521,0.94999,0.0011719,0.0011719,0.0011719
17,792.607,1.819,1.68796,0.8859,0.78196,0.74351,0.79138,0.35708,1.76489,1.75979,0.93867,0.00113889,0.00113889,0.00113889
18,838.989,1.80001,1.51431,0.85949,0.75141,0.82221,0.75025,0.37829,1.72443,1.62569,0.93313,0.00110589,0.00110589,0.00110589
19,885.334,1.89037,1.66396,0.87483,0.76424,0.84255,0.78598,0.32673,1.79025,1.64952,0.94398,0.00107288,0.00107288,0.00107288
20,928.793,1.81595,1.47138,0.85041,0.70853,0.83279,0.7114,0.33682,1.80747,1.64211,0.94709,0.00103987,0.00103987,0.00103987
21,973.935,1.68057,1.41375,0.86753,0.58054,0.81494,0.53946,0.24644,1.83049,1.6924,0.95129,0.00100687,0.00100687,0.00100687
22,1022.1,1.73773,1.39425,0.8786,0.61234,0.7899,0.56954,0.27675,1.79886,1.61027,0.95228,0.000973861,0.000973861,0.000973861
23,1064.66,1.74175,1.38431,0.8845,0.69398,0.80519,0.68761,0.33739,1.7814,1.5042,0.94554,0.000940855,0.000940855,0.000940855
24,1107.27,1.69939,1.34116,0.85518,0.73586,0.81093,0.73422,0.36926,1.81806,1.42439,0.95289,0.000907848,0.000907848,0.000907848
25,1151.71,1.75384,1.40034,0.87121,0.77077,0.786,0.75628,0.36179,1.74698,1.46959,0.94215,0.000874842,0.000874842,0.000874842
26,1194.15,1.7964,1.36018,0.86243,0.76186,0.78247,0.76362,0.36238,1.77759,1.4214,0.95563,0.000841835,0.000841835,0.000841835
27,1237.04,1.75459,1.37441,0.84513,0.7701,0.80977,0.76782,0.3748,1.80864,1.39405,0.93918,0.000808828,0.000808828,0.000808828
28,1280.6,1.79922,1.33132,0.85712,0.56602,0.80169,0.52952,0.25184,1.77763,1.51159,0.92734,0.000775822,0.000775822,0.000775822
29,1324.54,1.74321,1.30413,0.85,0.60972,0.75162,0.53662,0.2347,1.83373,1.5362,0.94495,0.000742815,0.000742815,0.000742815
30,1368.14,1.79559,1.28319,0.8673,0.56787,0.74421,0.48323,0.22501,1.74961,1.8443,0.93079,0.000709809,0.000709809,0.000709809
31,1410.97,1.69832,1.21746,0.85292,0.55154,0.79221,0.49616,0.22281,1.78203,2.13301,0.92298,0.000676802,0.000676802,0.000676802
32,1453.23,1.64956,1.21794,0.84424,0.55721,0.83279,0.50739,0.23789,1.67624,1.77002,0.91699,0.000643795,0.000643795,0.000643795
33,1495.4,1.61259,1.14691,0.867,0.75576,0.83279,0.7602,0.3639,1.72117,1.35037,0.93211,0.000610789,0.000610789,0.000610789
34,1538.06,1.5087,1.12173,0.86139,0.79367,0.85065,0.79157,0.39293,1.67165,1.29343,0.92515,0.000577782,0.000577782,0.000577782
35,1580.22,1.53778,1.08232,0.83451,0.80822,0.78734,0.76359,0.37306,1.69765,1.31815,0.9309,0.000544776,0.000544776,0.000544776
36,1622.23,1.57147,1.09386,0.8357,0.81054,0.81898,0.78724,0.36874,1.75261,1.33171,0.93419,0.000511769,0.000511769,0.000511769
37,1664.69,1.57803,1.15746,0.87215,0.73718,0.83269,0.75737,0.34893,1.77163,1.33133,0.92513,0.000478762,0.000478762,0.000478762
38,1706.77,1.60463,1.10239,0.84937,0.73061,0.81871,0.76364,0.35598,1.76137,1.30403,0.92406,0.000445756,0.000445756,0.000445756
39,1748.61,1.48916,1.07609,0.8405,0.78897,0.76706,0.7515,0.38639,1.75388,1.25283,0.93361,0.000412749,0.000412749,0.000412749
40,1790.97,1.54486,1.06136,0.83943,0.79547,0.73128,0.75061,0.41339,1.73793,1.25585,0.93694,0.000379743,0.000379743,0.000379743
41,1833.21,1.52903,1.23663,0.86622,0.58643,0.82178,0.62445,0.31635,1.73525,1.41333,0.93062,0.000346736,0.000346736,0.000346736
42,1875.07,1.44604,1.17672,0.87048,0.65405,0.83279,0.62443,0.31568,1.71966,1.42766,0.93372,0.000313729,0.000313729,0.000313729
43,1917.21,1.44185,1.12132,0.8644,0.6477,0.79221,0.58479,0.2918,1.71703,1.71513,0.93624,0.000280723,0.000280723,0.000280723
44,1959.12,1.43312,1.10745,0.84976,0.58874,0.82792,0.55024,0.25137,1.73442,1.77981,0.9295,0.000247716,0.000247716,0.000247716
45,2000.82,1.39149,1.05043,0.88227,0.62571,0.81468,0.58918,0.2864,1.70313,1.57694,0.92012,0.00021471,0.00021471,0.00021471
46,2043.32,1.37834,1.04789,0.85445,0.62501,0.84785,0.58321,0.28423,1.69644,1.63542,0.91851,0.000181703,0.000181703,0.000181703
