frame,distance
0,538.048939924466
2,547.5639377590555
4,553.9117831655268
6,559.304157971166
8,567.1401506225515
10,567.6173039180468
12,573.2859236390652
14,574.4020465698898
16,568.659373009274
18,575.2736965751828
20,569.5831858334253
22,576.5124800730288
24,569.3919919141821
26,585.0860704722711
28,590.471715303222
30,594.5032627317594
32,587.8401776765173
34,573.4190780010082
36,571.8155031119239
38,566.5209186051729
40,567.2837720139016
42,585.7808523669177
44,587.8953127432857
46,587.3101507850779
48,584.2748016580875
50,583.8797164355345
52,582.5758338640819
54,584.8614141800647
56,584.9738608445057
58,587.5492254913675
60,585.9113160053038
62,585.7170087626754
64,585.0626637547416
66,586.1104817617141
68,586.0175454859159
70,580.0111786816158
72,585.4177763765622
74,569.313709781182
76,573.4654679900376
78,576.0681149434237
80,577.9434767562095
82,580.8164112380737
84,581.8351810314228
86,585.5705487985144
88,573.3956852660879
90,571.5539352680732
92,571.2120251517928
94,570.7331741897254
96,572.2653270351111
98,580.6765063620692
100,576.7491299041354
102,573.7710758094304
104,571.5903529393593
106,566.254683474858
108,564.0394445661439
110,553.6778579508152
112,553.7957381696732
114,557.0059108879381
116,562.5098356022861
118,563.4893199941856
120,561.9785851580173
122,553.3032013639157
124,538.5225718237942
126,537.3791216763847
128,542.0336817436846
130,546.4283753462765
132,548.9178657280546
134,548.8810119992379
136,542.850900629206
138,524.601964962693
140,500.9212509106655
142,447.2681697929025
144,347.2709869748992
180,231.55564536941802
182,418.759420601334
184,525.8265059236678
186,559.5028209076281
188,579.1493992580821
190,578.7098302650352
192,579.0212375406844
194,570.3157367364927
196,567.8118100147564
198,567.2779470431501
200,569.5456100019409
202,572.4821266054785
204,571.0787323476703
206,573.8407571376904
208,582.8545098242054
210,587.3280783349962
212,586.5427412739504
214,585.8423932166567
216,583.4537269429387
218,583.7852096543427
220,588.7564340429467
222,587.8249429243012
224,584.5297855097808
226,578.8338987338861
228,576.9338128909317
230,576.2279173884522
232,572.3967120945503
234,570.6976327697379
236,568.0236452792607
238,576.9466078825739
240,582.3009550087577
242,582.3109864317945
244,582.9954807403009
246,583.4676352817529
248,580.4625549925639
250,566.838222750099
252,547.1149299208438
254,498.9220531838229
256,369.23797655478046
306,371.5429505086158
308,474.45524002708044
310,529.7853849883961
312,551.3437443542783
314,560.7984006176304
316,580.0739733386166
318,589.0428662288953
320,585.8805231606104
322,584.5797626354536
324,585.4430149269482
326,581.8043313777114
328,577.3903546621856
330,570.0481299120128
332,562.7726768195035
334,567.2360223179528
336,572.814082334124
338,574.109620092684
340,578.652048681205
342,580.9511986942941
344,583.674910493458
346,584.3547441381214
348,580.0969915547715
350,578.3296795739291
352,571.4665865310807
354,559.6569135856353
356,551.1625475079242
358,550.7654776267063
360,552.3043114896772
362,564.4137759579778
364,565.2544017720804
366,568.3151826255893
368,568.8485251229818
370,565.8325819446152
372,558.6052260990637
374,555.3737618343289
376,555.2906448413518
378,553.3017195906064
380,542.2424971598906
382,498.300335009574
384,427.41680485126494
386,356.4393938705701
388,285.26623495136306
434,387.60939521995556
436,500.46969640026293
438,534.8028987432704
440,551.4645758253724
442,549.6350666117881
444,547.6002107285511
446,537.3134072688974
448,523.640577950394
450,529.4636608214219
452,538.1457945844629
454,549.5102693385785
456,547.5135995623366
458,553.1454909510854
460,553.1902861799881
462,551.6153387673434
464,553.1782532244325
466,554.3028008985614
468,546.9094044105019
470,548.0867274986432
472,544.4580942153306
474,546.065239402126
476,546.7581694697121
478,543.6488206617512
480,535.942002881349
482,516.8351541682047
484,502.95428815727206
486,488.1665789503574
488,464.74333806984185
490,446.98779063365845
492,417.51034556569346
494,402.02255495761773
496,409.9512281533999
498,438.02561037439534
500,430.8081265831731
502,384.43996438121934
504,308.0719162573443
506,221.5364450602163
508,160.75988871200508
564,393.4886235328678
566,458.99781221920523
568,492.8696177789104
570,497.1055312671773
572,498.79902478157214
574,480.24699743466704
584,507.79453981996426
586,515.2878261085285
588,499.41118289956125
590,461.1302294963935
592,440.2480575671604
594,438.67140642778133
596,456.3468510893348
598,480.1745147226918
